,Unnamed: 0,ARTCLASS,ARTDESCRIP,BLOCKNBR,COMPKEY,DIRHI,DIRLO,FID,FLOW,INTKEYLO,INTRHI,INTRLO,NATIONHWYS,OBJECTID,ONEWAY,ONEWAYDIR,OWNER,PVMTCATEGO,PVMTCONDIN,PVMTCOND_1,SEGDIR,SEGLENGTH,SHAPE,SHAPE_Leng,SLOPE_PCT,SPEEDLIMIT,STATUS,STNAME_ORD,STREETTYPE,SURFACETYP,SURFACET_1,SURFACEWID,Shape__Length,TRANCLASS,TRANDESCRI,UNITDESC,UNITIDSORT,XSTRHI,XSTRLO
5,5,1,Principal Arterial,400,6120,SE,NW,6,F,30529,4TH AVE AND JEFFERSON ST,4TH AVE AND DILLING WAY,Y,403,Y,NW, ,ART,76,0,NW,99.0,"{'paths': [[[-13617650.4820541, 6040943.22918295], [-13617673.8329023, 6040981.23130881]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",98.62918725059151,4,25,INSVC,4TH AVE,Downtown,PCC, ,50,44.602956011805894,1,PRINCIPAL TRANSIT ROUTE,4TH AVE BETWEEN DILLING WAY AND JEFFERSON ST,031300045,JEFFERSON ST,DILLING WAY
7,7,1,Principal Arterial,1900,6136,SE,NW,8,F,29565,4TH AVE AND VIRGINIA ST,4TH AVE AND STEWART ST,Y,404,Y,NW, ,ART,77,96,NW,426.0,"{'paths': [[[-13618685.3982305, 6042595.02305146], [-13618830.1658087, 6042721.96072275]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",426.049054924109,1,25,INSVC,4TH AVE,Downtown,AC/PCC,PCC,54,192.537851047902,1,PRINCIPAL TRANSIT ROUTE,4TH AVE BETWEEN STEWART ST AND VIRGINIA ST,031300190,VIRGINIA ST,STEWART ST
8,8,1,Principal Arterial,2600,6143,SE,NW,9,F,29670,4TH AVE AND CEDAR ST,4TH AVE AND VINE ST,N,405,Y,NW, ,ART,79,0,NW,306.0,"{'paths': [[[-13619617.427163, 6043412.34350079], [-13619721.4118801, 6043503.5153175]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",305.988660674249,1,25,INSVC,4TH AVE,Downtown,AC/PCC, ,54,138.293606328921,2,MAJOR TRANSIT ROUTE,4TH AVE BETWEEN VINE ST AND CEDAR ST,031300260,CEDAR ST,VINE ST
20,20,1,Principal Arterial,5100,11330,SE,NW,21, ,25174,LEARY AVE NW AND NW IONE PL,LEARY AVE NW AND NW DOCK PL,Y,815,N, , ,ART,59,0,NW,333.0,"{'paths': [[[-13623281.0784656, 6051282.55506071], [-13623287.1543461, 6051290.21432429], [-13623374.6318252, 6051400.4931469]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",332.593562072352,1,30,INSVC,LEARY AVE NW,Urban Village Main,PCC, ,54,150.537780158017,2,MAJOR TRANSIT ROUTE,LEARY AVE NW BETWEEN NW DOCK PL AND NW IONE PL,081450510,NW IONE PL,NW DOCK PL
25,25,2,Minor Arterial,600,11372,SW,NE,26,T,29544,7TH AVE AND LENORA ST,6TH AVE AND LENORA ST,N,820,Y,SW, ,ART,92,0,NE,322.0,"{'paths': [[[-13618783.5731854, 6043068.3374388], [-13618687.7143354, 6043178.20284284]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",322.491321685855,4,25,INSVC,LENORA ST,Downtown Neighborhood,PCC, ,44,145.805782191743,1,PRINCIPAL TRANSIT ROUTE,LENORA ST BETWEEN 6TH AVE AND 7TH AVE,081950060,7TH AVE,6TH AVE
47,47,1,Principal Arterial,1000,11591,SW,NE,48, ,29924,BOREN AVE AND MADISON ST,MADISON ST AND TERRY AVE,Y,842,N, , ,ART,76,0,NE,322.0,"{'paths': [[[-13617295.8193424, 6042030.22501152], [-13617172.193245, 6042106.93712497]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",322.123709162532,4,25,INSVC,MADISON ST,Urban Village Main,AC/PCC, ,48,145.492818729269,2,MAJOR TRANSIT ROUTE,MADISON ST BETWEEN TERRY AVE AND BOREN AVE,083000100,BOREN AVE,TERRY AVE
48,48,1,Principal Arterial,1300,11594,SW,NE,49, ,29787,BOYLSTON AVE AND MADISON ST,MADISON ST AND SUMMIT AVE,Y,843,N, , ,ART,75,0,NE,321.0,"{'paths': [[[-13616924.9242633, 6042260.3043258], [-13616831.447705, 6042318.30480223], [-13616801.58376, 6042336.82627759]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",321.355927199893,2,25,INSVC,MADISON ST,Urban Village Main,AC/PCC, ,48,145.149884709083,2,MAJOR TRANSIT ROUTE,MADISON ST BETWEEN SUMMIT AVE AND BOYLSTON AVE,083000130,BOYLSTON AVE,SUMMIT AVE
57,57,0,Not Designated,700,11668,SW,NE,58, ,29945,8TH AVE AND MARION ST,7TH AVE AND MARION ST,N,851,N, , ,NON-ART,100,0,NE,322.0,"{'paths': [[[-13617594.1097585, 6041682.31403767], [-13617470.4593474, 6041759.04654893]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",322.206256824126,6,20,INSVC,MARION ST,Urban Village Neighborhood Access,AC, ,40,145.524233216361,0,NOT DESIGNATED,MARION ST BETWEEN 7TH AVE AND 8TH AVE,084500070,8TH AVE,7TH AVE
79,79,0,Not Designated,600,11868,SE,NW,80, ,29813,CHERRY ST AND MINOR AVE,JAMES ST AND MINOR AVE,N,873,N, , ,NON-ART,7,7,NW,306.0,"{'paths': [[[-13616758.272108, 6041712.20985684], [-13616830.838639, 6041830.05030771]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",305.993661806536,0,20,INSVC,MINOR AVE,Urban Village Neighborhood Access,AC,AC,66,138.391738462879,0,NOT DESIGNATED,MINOR AVE BETWEEN JAMES ST AND CHERRY ST,086650060,CHERRY ST,JAMES ST
81,81,0,Not Designated,400,11888,S,N,82, ,29135,MINOR AVE N AND REPUBLICAN ST,HARRISON ST AND MINOR AVE N,N,875,N, , ,NON-ART,7,0,N,417.0,"{'paths': [[[-13618046.508579, 6044193.54164339], [-13618047.2534015, 6044382.23620014]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",416.747072994877,3,20,INSVC,MINOR AVE N,Urban Village Neighborhood Access,AC, ,43,188.69602674740102,0,NOT DESIGNATED,MINOR AVE N BETWEEN HARRISON ST AND REPUBLICAN ST,086750040,REPUBLICAN ST,HARRISON ST
