,Hour,Unitdesc,Parking_Spaces,Occupancy
0,1,10TH AVE BETWEEN E PIKE ST AND E PINE ST,40.0,0.35
1,1,10TH AVE BETWEEN E UNION ST AND E PIKE ST,20.0,0.55
2,1,11TH AVE BETWEEN E PIKE ST AND E PINE ST,29.0,0.5862068965517241
3,1,12TH AVE BETWEEN E MADISON ST AND E PIKE ST,18.0,0.3888888888888889
4,1,12TH AVE BETWEEN E PIKE ST AND E PINE ST,3.0,1.0
5,1,13TH AVE BETWEEN E MADISON ST AND E PIKE ST,5.0,1.0
6,1,13TH AVE BETWEEN E PIKE ST AND E PINE ST,12.0,0.5
7,1,14TH AVE BETWEEN E PIKE ST AND E PINE ST,9.0,0.4444444444444444
8,1,15TH AVE BETWEEN E MADISON ST AND E PINE ST,4.0,1.0
9,1,BELMONT AVE BETWEEN E PIKE ST AND E PINE ST,8.0,1.0
10,1,BELMONT AVE BETWEEN E UNION ST AND E PIKE ST,15.0,0.8666666666666667
11,1,BOYLSTON AVE BETWEEN E UNION ST AND E PIKE ST,10.0,1.0
12,1,BROADWAY BETWEEN E PIKE ST AND E PINE ST,5.0,1.0
13,1,BROADWAY BETWEEN E UNION ST AND E PIKE ST,6.0,1.0
14,1,E PIKE ST BETWEEN 10TH AVE AND 11TH AVE,17.0,0.7647058823529411
15,1,E PIKE ST BETWEEN 11TH AVE AND 12TH AVE,16.0,0.9375
16,1,E PIKE ST BETWEEN 12TH AVE AND 13TH AVE,11.0,0.5454545454545454
17,1,E PIKE ST BETWEEN 13TH AVE AND 14TH AVE,18.0,0.3333333333333333
18,1,E PIKE ST BETWEEN BELLEVUE AVE AND CRAWFORD PL,8.0,0.25
19,1,E PIKE ST BETWEEN BELMONT AVE AND BOYLSTON AVE,15.0,0.13333333333333333
20,1,E PIKE ST BETWEEN BOYLSTON AVE AND HARVARD AVE,17.0,0.6470588235294118
21,1,E PIKE ST BETWEEN BROADWAY AND 10TH AVE,18.0,0.6111111111111112
22,1,E PIKE ST BETWEEN CRAWFORD PL AND SUMMIT AVE,8.0,0.5
23,1,E PIKE ST BETWEEN HARVARD AVE AND BROADWAY,19.0,0.7368421052631579
24,1,E PIKE ST BETWEEN MELROSE AVE AND BELLEVUE AVE,14.0,0.35714285714285715
25,1,E PIKE ST BETWEEN SUMMIT AVE AND BELMONT AVE,13.0,0.5384615384615384
26,1,E PINE ST BETWEEN 10TH AVE AND 11TH AVE,14.0,0.2857142857142857
27,1,E PINE ST BETWEEN 12TH AVE AND 13TH AVE,14.0,0.2857142857142857
28,1,E PINE ST BETWEEN 13TH AVE AND 14TH AVE,10.0,0.3
29,1,E PINE ST BETWEEN 14TH AVE AND 15TH AVE,13.0,0.6153846153846154
30,1,E PINE ST BETWEEN BELLEVUE AVE AND CRAWFORD PL,4.0,0.5
