,UNITDESC,WKD_RATE1,WKD_START1,WKD_END1,WKD_RATE2,WKD_START2,WKD_END2,WKD_RATE3,WKD_START3,WKD_END3,SAT_RATE1,SAT_START1,SAT_END1,SAT_RATE2,SAT_START2,SAT_END2,SAT_RATE3,SAT_START3,SAT_END3,PARKING_TIME_LIMIT
2,10TH AVE BETWEEN E MADISON ST AND E SENECA ST,2.0,480,661,3.0,660,1021,3.0,1020.0,1321.0,2.0,480.0,661.0,3.0,660.0,1021.0,3.0,1020.0,1321.0,120.0
3,10TH AVE BETWEEN E PIKE ST AND E PINE ST,2.0,480,661,3.0,660,1021,3.0,1020.0,1321.0,2.0,480.0,661.0,3.0,660.0,1021.0,3.0,1020.0,1321.0,120.0
4,10TH AVE BETWEEN E SENECA ST AND E UNION ST,2.0,480,661,3.0,660,1021,3.0,1020.0,1321.0,2.0,480.0,661.0,3.0,660.0,1021.0,3.0,1020.0,1321.0,180.0
7,10TH AVE BETWEEN E UNION ST AND E PIKE ST,2.0,480,661,3.0,660,1021,3.0,1020.0,1321.0,2.0,480.0,661.0,3.0,660.0,1021.0,3.0,1020.0,1321.0,120.0
12,10TH AVE E BETWEEN E DENNY WAY AND E JOHN ST,0.0,0,2,0.0,0,2,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,120.0
17,10TH AVE E BETWEEN E HARRISON ST AND E REPUBLICAN ST,0.0,0,2,0.0,0,2,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,120.0
20,10TH AVE E BETWEEN E JOHN ST AND E THOMAS E ST,0.0,0,2,0.0,0,2,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,
22,10TH AVE E BETWEEN E MERCER ST AND E ROY E ST,2.0,480,661,3.5,660,1021,4.0,1020.0,1321.0,2.0,480.0,661.0,3.5,660.0,1021.0,4.0,1020.0,1321.0,
26,10TH AVE E BETWEEN E REPUBLICAN ST AND E MERCER ST,2.0,480,661,3.5,660,1021,4.0,1020.0,1321.0,2.0,480.0,661.0,3.5,660.0,1021.0,4.0,1020.0,1321.0,
29,10TH AVE E BETWEEN E THOMAS W ST AND E HARRISON ST,2.0,480,661,3.5,660,1021,4.0,1020.0,1321.0,2.0,480.0,661.0,3.5,660.0,1021.0,4.0,1020.0,1321.0,
60,10TH AVE S BETWEEN S JACKSON ST AND S KING ST,0.0,0,2,0.0,0,2,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,
62,10TH AVE S BETWEEN S KING ST AND S WELLER ST,0.0,0,2,0.0,0,2,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,120.0
108,11TH AVE BETWEEN E HOWELL ST AND E DENNY WAY,1.5,480,661,2.5,660,1021,3.0,1020.0,1321.0,2.0,480.0,661.0,2.5,660.0,1021.0,3.0,1020.0,1321.0,240.0
109,11TH AVE BETWEEN E MADISON ST AND E UNION ST,2.0,480,661,3.0,660,1021,3.0,1020.0,1321.0,2.0,480.0,661.0,3.0,660.0,1021.0,3.0,1020.0,1321.0,120.0
110,11TH AVE BETWEEN E OLIVE ST AND E HOWELL ST,1.5,480,661,2.5,660,1021,3.0,1020.0,1321.0,2.0,480.0,661.0,2.5,660.0,1021.0,3.0,1020.0,1321.0,240.0
111,11TH AVE BETWEEN E PIKE ST AND E PINE ST,2.0,480,661,3.0,660,1021,3.0,1020.0,1321.0,2.0,480.0,661.0,3.0,660.0,1021.0,3.0,1020.0,1321.0,120.0
112,11TH AVE BETWEEN E PINE ST AND E OLIVE ST,1.5,480,661,2.5,660,1021,3.0,1020.0,1321.0,2.0,480.0,661.0,2.5,660.0,1021.0,3.0,1020.0,1321.0,240.0
115,11TH AVE BETWEEN E UNION ST AND E PIKE ST,2.0,480,661,3.0,660,1021,3.0,1020.0,1321.0,2.0,480.0,661.0,3.0,660.0,1021.0,3.0,1020.0,1321.0,120.0
134,11TH AVE NE BETWEEN DEAD END 1 AND NE 41ST ST,1.0,480,661,1.0,660,1081,,,,1.0,480.0,661.0,1.0,660.0,1081.0,,,,240.0
145,11TH AVE NE BETWEEN NE 43RD ST AND NE 45TH ST,1.0,480,661,1.0,660,1081,,,,1.0,480.0,661.0,1.0,660.0,1081.0,,,,240.0
146,11TH AVE NE BETWEEN NE 45TH ST AND NE 47TH ST,1.0,480,661,1.0,660,1081,,,,1.0,480.0,661.0,1.0,660.0,1081.0,,,,240.0
147,11TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,1.0,480,661,1.0,660,1081,,,,1.0,480.0,661.0,1.0,660.0,1081.0,,,,240.0
245,12TH AVE BETWEEN E BARCLAY CT AND E JAMES CT,1.0,480,661,3.0,660,1021,3.0,1020.0,1201.0,1.0,480.0,661.0,3.0,660.0,1021.0,3.0,1020.0,1201.0,120.0
246,12TH AVE BETWEEN E CHERRY ST AND E COLUMBIA ST,1.0,480,661,3.0,660,1021,3.0,1020.0,1201.0,1.0,480.0,661.0,3.0,660.0,1021.0,3.0,1020.0,1201.0,120.0
247,12TH AVE BETWEEN E COLUMBIA ST AND E MARION ST,1.0,480,661,3.0,660,1021,3.0,1020.0,1201.0,1.0,480.0,661.0,3.0,660.0,1021.0,3.0,1020.0,1201.0,120.0
249,12TH AVE BETWEEN E HOWELL ST AND E DENNY WAY,0.0,0,2,0.0,0,2,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,120.0
250,12TH AVE BETWEEN E JAMES CT AND E CHERRY ST,1.0,480,661,3.0,660,1021,3.0,1020.0,1201.0,1.0,480.0,661.0,3.0,660.0,1021.0,3.0,1020.0,1201.0,120.0
