Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code
ELEC,Lacey Timberland Library,500 College St SE,"At 6th Ave SE, located in front of building",Lacey,WA,98503,,360-491-3860,E,,Public,24 hours daily,,,,,1,,,,,,200-9,47.043857,-122.822498,2017/6/2,33352,2018-10-26 19:36:46 UTC,LG,,,2008/4/15,,,,,NEMA520,US,,,,Public,,public,,
ELEC,Seattle-Tacoma International Airport - General Parking,17801 Pacific Hwy S,"5th floor parking garage; rows D, G, and I",Seattle,WA,98188,,206-433-5308,E,,Public,24 hours daily; pay lot,,,,,36,,,,,,200-8,47.443377,-122.296229,2018/6/5,33717,2018-06-05 19:29:00 UTC,P,,,2010/3/1,,,,,NEMA520,US,,,,Public,,public,,
ELEC,Haggen - Top Foods,1313 Cooper Point Rd SW,In front of the building on the left hand side,Olympia,WA,98502,,360-754-1428,E,,Public,24 hours daily,,,,,2,,,,,,200-8,47.035421,-122.938962,2017/6/2,35337,2018-10-26 19:55:50 UTC,P,,,2009/8/15,,,,,NEMA520,US,,,,Public,,public,,
ELEC,Avista Corp,1411 E Mission Ave,,Spokane,WA,99252,,509-489-0500,E,,Public,24 hours daily,,,,,1,2,,,,,GPS,47.673347,-117.388933,2018/8/7,35620,2018-08-07 22:32:24 UTC,P,,,2010/4/15,,,,,J1772 NEMA520,US,,,,Public,,public,,
ELEC,Steam Plant Grill,159 S Lincoln St,,Spokane,WA,99201,,509-777-3900,E,,Public,24 hours daily,,,,,,1,,,,,200-8,47.654998,-117.425025,2018/8/7,35621,2018-08-07 22:32:24 UTC,P,,,2010/4/15,,,,,J1772,US,,,,Public,,public,,
ELEC,OPALCO,469 Market St,MARKET STREET; -,Eastsound,WA,98245,,888-758-4389,E,,Public,24 hours daily,,,,,1,1,,,ChargePoint Network,http://www.chargepoint.com/,GPS,48.6950989,-122.9040985,2018/10/31,36388,2018-10-31 09:03:42 UTC,,,,,,,,,J1772 NEMA520,US,,,,Public,,public,,
ELEC,OPALCO,162 Weeks Rd,LOPEZ VILLAGE; -,Lopez Island,WA,98261,,888-758-4389,E,,Public,24 hours daily,,,,,1,1,,,ChargePoint Network,http://www.chargepoint.com/,GPS,48.5250015,-122.9152985,2018/10/31,36390,2018-10-31 09:03:42 UTC,,,,,,,,,J1772 NEMA520,US,,,,Public,,public,,
ELEC,SUQUAMISH MASI,16285 Washington 305,"SUQUAMISH MASI1; Suquamish Masi Shop Shell Station
SUQUAMISH MASI2; Suquamish Masi Shop Shell Station",Poulsbo,WA,98370,,888-758-4389,E,,Public,24 hours daily,,,,,2,2,,,ChargePoint Network,http://www.chargepoint.com/,200-9,47.707951,-122.583252,2018/10/31,36391,2018-10-31 09:03:42 UTC,,,,,,,,,J1772 NEMA520,US,,,,Public,,public,,
ELEC,BELLEVUE,450 110th Ave NE,BELLEVUE CH 1; To the left of garage main entrance. ,Bellevue,WA,98004,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,200-9,47.6147445,-122.1931623,2018/10/31,37181,2018-10-31 09:03:42 UTC,,,,,,,,,J1772,US,,,,Public,,public,,
ELEC,Eastside Big Tom,2023 4th Ave E,,Olympia,WA,98501,,360-357-4852,E,,Public,24 hours daily,,,,,1,,,,,,200-9,47.04578,-122.871901,2018/6/5,37663,2018-06-05 19:29:00 UTC,P,,,2008/1/15,,,,,NEMA520,US,,,,Public,,public,,
